[WARN] [1756482902.536267810] [voice_control_node]: 尚未获取 base_angle，无法转向
[INFO] [1756482902.541028910] [voice_control_node]: 已加载 JSON 文件: /home/rpp//rpp_data/config/voice/voice_pose.json
[INFO] [1756482902.541192734] [voice_control_node]: 等待 TF [mic_link -> base_link] 可用...
[INFO] [1756482902.641647221] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482903.242613749] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482903.843896433] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482904.445342686] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482904.946827065] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482905.447951034] [voice_control_node]: TTS 成功播报：成功加载 2 个点位
[INFO] [1756482905.448311610] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482905.949400270] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482906.450574146] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482907.051507844] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482907.652438921] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482908.253040549] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482908.853760203] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482909.454659875] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482910.055100605] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482910.655781259] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482911.256430922] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482911.857514308] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482912.458124101] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482913.058783319] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482913.659929811] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482914.260746577] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482914.861698131] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482915.462684146] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482916.063651615] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482916.664514675] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482917.265646445] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482917.866754223] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482918.467726471] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482919.068712114] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482919.669676073] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482920.270683869] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482920.871315603] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482921.472142447] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482922.072900950] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482922.673878017] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482923.274968970] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482923.875997663] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482924.477035392] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482925.078039750] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482925.679219490] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482926.280164553] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482926.881542069] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482927.482088593] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482928.083206569] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482928.683888563] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482929.284910463] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482929.885920084] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482930.486797183] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482931.087321328] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482931.687737305] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482932.288625268] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482932.889573851] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482933.490508551] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482934.091553906] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482934.692044391] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482935.292833388] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482935.893783463] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482936.494994374] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482937.096246448] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482937.697651921] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482938.298639356] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482938.899665247] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482939.500713998] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482940.101787104] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756482940.702346391] [voice_control_node]: TF 尚未可用，继续等待...
