[INFO] [1755507914.505886053] [serial_driver]: motion model: 2wd
[INFO] [1755507914.506153843] [serial_driver]: enable serial control 00
[INFO] [1755507914.606251098] [serial_driver]: enable serial control 00
[INFO] [1755507914.706413537] [serial_driver]: enable serial control 00
[INFO] [1755507914.806555657] [serial_driver]: enable serial control 00
[INFO] [1755507914.906770881] [serial_driver]: enable serial control 00
[INFO] [1755507915.006960786] [serial_driver]: enable serial control 00
[INFO] [1755507915.107144713] [serial_driver]: enable serial control 00
[INFO] [1755507915.207308975] [serial_driver]: enable serial control 00
[INFO] [1755507915.307472244] [serial_driver]: enable serial control 00
[INFO] [1755507915.407662520] [serial_driver]: enable serial control 00
[INFO] [1755507915.507846968] [serial_driver]: enable serial control 00
[INFO] [1755507915.607996404] [serial_driver]: enable serial control 00
[INFO] [1755507915.708203974] [serial_driver]: enable serial control 00
[INFO] [1755507915.808395831] [serial_driver]: enable serial control 00
[INFO] [1755507915.908583964] [serial_driver]: enable serial control 00
[INFO] [1755507916.008749455] [serial_driver]: enable serial control 00
[INFO] [1755507916.108947324] [serial_driver]: enable serial control 00
[INFO] [1755507916.209118366] [serial_driver]: enable serial control 00
[INFO] [1755507916.309269652] [serial_driver]: enable serial control 00
[INFO] [1755507916.409421373] [serial_driver]: enable serial control 00
[INFO] [1755507916.509577548] [serial_driver]: enable serial control 00
[INFO] [1755507916.609742458] [serial_driver]: enable serial control 00
[INFO] [1755507916.709909922] [serial_driver]: enable serial control 00
[INFO] [1755507916.810069726] [serial_driver]: enable serial control 00
[INFO] [1755507916.910256802] [serial_driver]: enable serial control 00
[INFO] [1755507917.010453562] [serial_driver]: enable serial control 00
[INFO] [1755507917.110645612] [serial_driver]: enable serial control 00
[INFO] [1755507917.210922508] [serial_driver]: enable serial control 00
[INFO] [1755507917.311157014] [serial_driver]: enable serial control 00
[INFO] [1755507917.411408511] [serial_driver]: enable serial control 00
[INFO] [1755507917.511549961] [serial_driver]: enable serial control 00
[INFO] [1755507917.611708146] [serial_driver]: enable serial control 00
[INFO] [1755507917.711853101] [serial_driver]: enable serial control 00
[INFO] [1755507917.812005724] [serial_driver]: enable serial control 00
[INFO] [1755507917.912148928] [serial_driver]: enable serial control 00
[INFO] [1755507918.012316001] [serial_driver]: enable serial control 00
[INFO] [1755507918.112492271] [serial_driver]: enable serial control 00
[INFO] [1755507918.212661932] [serial_driver]: enable serial control 00
[INFO] [1755507918.312910735] [serial_driver]: enable serial control 00
[INFO] [1755507918.413072388] [serial_driver]: enable serial control 00
[INFO] [1755507918.513225247] [serial_driver]: enable serial control 00
[INFO] [1755507918.613378627] [serial_driver]: enable serial control 00
[INFO] [1755507918.713531496] [serial_driver]: enable serial control 00
[INFO] [1755507918.813692426] [serial_driver]: enable serial control 00
[INFO] [1755507918.913834587] [serial_driver]: enable serial control 00
[INFO] [1755507919.014035821] [serial_driver]: enable serial control 00
