[WARN] [1756484619.665123009] [voice_control_node]: 尚未获取 base_angle，无法转向
[INFO] [1756484619.671534819] [voice_control_node]: 已加载 JSON 文件: /home/rpp//rpp_data/config/voice/voice_pose.json
[INFO] [1756484619.671709745] [voice_control_node]: 等待 TF [mic_link -> base_link] 可用...
[INFO] [1756484619.675672110] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484620.176847467] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484620.679508648] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484621.180857446] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484621.681981764] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484622.183000141] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484622.683946155] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484623.184657287] [voice_control_node]: TTS 成功播报：成功加载 2 个点位
[INFO] [1756484623.184877399] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484623.685687217] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484624.186810835] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484624.687716987] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484625.188884187] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484625.689986791] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484626.190946853] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484626.692083488] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484627.193001253] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484627.693943260] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484628.194939361] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484628.696140617] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484629.197096214] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484629.697957575] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484630.198945514] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484630.699944342] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484631.201079990] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484631.702205421] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484632.203349925] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484632.704498024] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484633.205603958] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484633.706760917] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484634.207833490] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484634.709106675] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484635.210314292] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484635.710938343] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484636.212126006] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484636.713390218] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484637.214531204] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484637.715697208] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484638.216871431] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484638.717990770] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484639.218928071] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484639.720221441] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484640.221533590] [voice_control_node]: TF 尚未可用，继续等待...
[INFO] [1756484640.722858115] [voice_control_node]: TF 尚未可用，继续�
